Time,System Production (W)
02/01/2021 00:00,"0"
02/01/2021 00:15,"0"
02/01/2021 00:30,"0"
02/01/2021 00:45,"0"
02/01/2021 01:00,"0"
02/01/2021 01:15,"0"
02/01/2021 01:30,"0"
02/01/2021 01:45,"0"
02/01/2021 02:00,"0"
02/01/2021 02:15,"0"
02/01/2021 02:30,"0"
02/01/2021 02:45,"0"
02/01/2021 03:00,"0"
02/01/2021 03:15,"0"
02/01/2021 03:30,"0"
02/01/2021 03:45,"0"
02/01/2021 04:00,"0"
02/01/2021 04:15,"0"
02/01/2021 04:30,"0"
02/01/2021 04:45,"0"
02/01/2021 05:00,"0"
02/01/2021 05:15,"0"
02/01/2021 05:30,"0"
02/01/2021 05:45,"0"
02/01/2021 06:00,"0"
02/01/2021 06:15,"0"
02/01/2021 06:30,"0"
02/01/2021 06:45,"0"
02/01/2021 07:00,"0"
02/01/2021 07:15,"0"
02/01/2021 07:30,"0"
02/01/2021 07:45,"0"
02/01/2021 08:00,"0"
02/01/2021 08:15,"0"
02/01/2021 08:30,"0"
02/01/2021 08:45,"0"
02/01/2021 09:00,"1.2599"
02/01/2021 09:15,"28.4382"
02/01/2021 09:30,"93.8428"
02/01/2021 09:45,"109.687"
02/01/2021 10:00,"124.0206"
02/01/2021 10:15,"184.0273"
02/01/2021 10:30,"209.5948"
02/01/2021 10:45,"250.4275"
02/01/2021 11:00,"381.4694"
02/01/2021 11:15,"931.3661"
02/01/2021 11:30,"1050.1064"
02/01/2021 11:45,"515.8759"
02/01/2021 12:00,"586.7891"
02/01/2021 12:15,"475.8116"
02/01/2021 12:30,"627.4689"
02/01/2021 12:45,"1210.1003"
02/01/2021 13:00,"360.1652"
02/01/2021 13:15,"502.4682"
02/01/2021 13:30,"258.787"
02/01/2021 13:45,"171.0531"
02/01/2021 14:00,"138.8131"
02/01/2021 14:15,"147.1308"
02/01/2021 14:30,"112.7335"
02/01/2021 14:45,"205.6362"
02/01/2021 15:00,"198.8617"
02/01/2021 15:15,"134.9486"
02/01/2021 15:30,"111.4606"
02/01/2021 15:45,"88.7645"
02/01/2021 16:00,"52.6121"
02/01/2021 16:15,"23.6984"
02/01/2021 16:30,"2.0625"
02/01/2021 16:45,"0"
02/01/2021 17:00,"0"
02/01/2021 17:15,"0"
02/01/2021 17:30,"0"
02/01/2021 17:45,"0"
02/01/2021 18:00,"0"
02/01/2021 18:15,"0"
02/01/2021 18:30,"0"
02/01/2021 18:45,"0"
02/01/2021 19:00,"0"
02/01/2021 19:15,"0"
02/01/2021 19:30,"0"
02/01/2021 19:45,"0"
02/01/2021 20:00,"0"
02/01/2021 20:15,"0"
02/01/2021 20:30,"0"
02/01/2021 20:45,"0"
02/01/2021 21:00,"0"
02/01/2021 21:15,"0"
02/01/2021 21:30,"0"
02/01/2021 21:45,"0"
02/01/2021 22:00,"0"
02/01/2021 22:15,"0"
02/01/2021 22:30,"0"
02/01/2021 22:45,"0"
02/01/2021 23:00,"0"
02/01/2021 23:15,"0"
02/01/2021 23:30,"0"
02/01/2021 23:45,"0"
02/02/2021 00:00,"0"
02/02/2021 00:15,"0"
02/02/2021 00:30,"0"
02/02/2021 00:45,"0"
02/02/2021 01:00,"0"
02/02/2021 01:15,"0"
02/02/2021 01:30,"0"
02/02/2021 01:45,"0"
02/02/2021 02:00,"0"
02/02/2021 02:15,"0"
02/02/2021 02:30,"0"
02/02/2021 02:45,"0"
02/02/2021 03:00,"0"
02/02/2021 03:15,"0"
02/02/2021 03:30,"0"
02/02/2021 03:45,"0"
02/02/2021 04:00,"0"
02/02/2021 04:15,"0"
02/02/2021 04:30,"0"
02/02/2021 04:45,"0"
02/02/2021 05:00,"0"
02/02/2021 05:15,"0"
02/02/2021 05:30,"0"
02/02/2021 05:45,"0"
02/02/2021 06:00,"0"
02/02/2021 06:15,"0"
02/02/2021 06:30,"0"
02/02/2021 06:45,"0"
02/02/2021 07:00,"0"
02/02/2021 07:15,"0"
02/02/2021 07:30,"0"
02/02/2021 07:45,"0"
02/02/2021 08:00,"0"
02/02/2021 08:15,"0"
02/02/2021 08:30,"0"
02/02/2021 08:45,"6.8826"
02/02/2021 09:00,"14.6241"
02/02/2021 09:15,"53.7021"
02/02/2021 09:30,"71.3103"
02/02/2021 09:45,"83.1986"
02/02/2021 10:00,"111.2869"
02/02/2021 10:15,"128.6331"
02/02/2021 10:30,"149.2885"
02/02/2021 10:45,"160.1264"
02/02/2021 11:00,"153.7221"
02/02/2021 11:15,"204.7727"
02/02/2021 11:30,"422.7524"
02/02/2021 11:45,"432.4936"
02/02/2021 12:00,"368.7083"
02/02/2021 12:15,"330.9153"
02/02/2021 12:30,"381.5441"
02/02/2021 12:45,"343.994"
02/02/2021 13:00,"217.7002"
02/02/2021 13:15,"160.0434"
02/02/2021 13:30,"59.597"
02/02/2021 13:45,"50.8822"
02/02/2021 14:00,"54.0007"
02/02/2021 14:15,"29.581"
02/02/2021 14:30,"19.3021"
